month,year,month_number,start_date,end_date,bank_name,no_atms_on_site,no_atms_off_site,no_pos_on_line,no_pos_off_line,no_credit_cards,no_credit_card_atm_txn,no_credit_card_pos_txn,no_credit_card_atm_txn_value_in_mn,no_credit_card_pos_txn_value_in_mn,no_debit_cards,no_debit_card_atm_txn,no_debit_card_pos_txn,no_debit_card_atm_txn_value_in_mn,no_debit_card_pos_txn_value_in_mn
January,2017,1,1/1/2017,1/31/2017,ALLAHABAD BANK,820,401,11,0,0,0,0,0,0,10792274,5796877,2036328,13523.9,2987.37
January,2017,1,1/1/2017,1/31/2017,ANDHRA BANK,2971,771,2747,0,164034,10744,373645,36.5,820.7,21011455,12400021,3488937,26564,4318.8
January,2017,1,1/1/2017,1/31/2017,BANK OF BARODA,6287,4146,58127,0,128841,6149,371215,16.6668,1196.81,40387836,14945470,11156036,50090.5,15078.8
January,2017,1,1/1/2017,1/31/2017,BANK OF INDIA,3483,4234,14673,1421,144308,13124,224747,50.0693,535.861,44901590,29169956,9699926,46869.5,11791.3
January,2017,1,1/1/2017,1/31/2017,BANK OF MAHARASHTRA,1291,585,391,0,0,0,0,0,0,6237289,5570289,3104156,16790.6,5222.67
January,2017,1,1/1/2017,1/31/2017,CANARA BANK,5383,5039,5995,0,205676,28493,516612,99.1298,1018.17,31942734,15945343,10450680,50103.2,15852
January,2017,1,1/1/2017,1/31/2017,CENTRAL BANK OF INDIA,3508,1807,1505,0,106634,3178,180393,12.5975,383.033,23432002,10015590,4683080,32566.7,7210.07
January,2017,1,1/1/2017,1/31/2017,CORPORATION BANK,2301,856,179599,0,92515,2072,160954,7.52238,370.743,11107568,5825820,4959344,18180.2,6497.5
January,2017,1,1/1/2017,1/31/2017,DENA BANK,1282,248,2094,0,0,0,0,0,0,6906700,2233987,1031335,7472.91,1336.41
January,2017,1,1/1/2017,1/31/2017,INDIAN BANK,2597,736,4336,0,80118,6591,183331,7.2,349.7,17077467,21490460,7522427,29021.7,8896.2
January,2017,1,1/1/2017,1/31/2017,INDIAN OVERSEAS BANK,2715,985,10120,0,43018,320,78484,0.955273,184.107,15560851,9691972,3833677,23040.7,11168.2
January,2017,1,1/1/2017,1/31/2017,ORIENTAL BANK OF COMMERCE,2288,315,3853,0,0,0,0,0,0,10221728,4309934,2728601,15046.9,4068.65
January,2017,1,1/1/2017,1/31/2017,PUNJAB AND SIND BANK,1042,210,0,0,0,0,0,0,0,2560514,755699,491225,2524.7,878
January,2017,1,1/1/2017,1/31/2017,PUNJAB NATIONAL BANK,5315,4698,30512,0,218649,2978,327424,7.04644,671.527,53823936,19743693,14379189,68787.7,21396.7
January,2017,1,1/1/2017,1/31/2017,SYNDICATE BANK,3470,397,2699,0,71955,2217,129474,6.9268,248.57,13270764,11325678,1863900,22446.8,2646.36
January,2017,1,1/1/2017,1/31/2017,UCO BANK,2149,576,1207,0,0,0,0,0,0,10008220,4635497,2618309,14107,3794.6
January,2017,1,1/1/2017,1/31/2017,UNION BANK OF INDIA,4479,3030,31617,0,173899,2176,164975,5.81715,718.19,18698257,18111183,4188596,40697.1,4838.64
January,2017,1,1/1/2017,1/31/2017,UNITED BANK OF INDIA,1029,1171,0,0,0,0,0,0,0,9421190,6143976,1429830,17317.8,2138.52
January,2017,1,1/1/2017,1/31/2017,VIJAYA BANK,1536,358,2605,0,48582,8735,123706,28.2098,344.923,5527039,5444079,2145421,11864.3,3379.11
January,2017,1,1/1/2017,1/31/2017,IDBI LTD,1782,1687,27369,0,17923,502,76717,6.1,169.2,10224357,7526173,5379032,24158.4,8984.9
January,2017,1,1/1/2017,1/31/2017,STATE BANK OF BIKANER AND JAIPUR,1215,808,6629,0,0,0,0,0,0,11511912,11683810,2958616,21568.1,4450.78
January,2017,1,1/1/2017,1/31/2017,STATE BANK OF HYDERABAD,1814,566,7985,0,0,0,0,0,0,14745060,20248535,6307388,33770,9696.64
January,2017,1,1/1/2017,1/31/2017,STATE BANK OF INDIA,23334,26776,431430,0,4355603,82462,14885382,285.387,45960.7,239467117,331354227,80992775,545192,124376
January,2017,1,1/1/2017,1/31/2017,STATE BANK OF MYSORE,1096,330,5718,0,0,0,0,0,0,5806619,7876719,2034583,12563.3,3229.22
January,2017,1,1/1/2017,1/31/2017,STATE BANK OF PATIALA,1182,344,7302,0,0,0,0,0,0,6479365,4776732,2226940,9238.43,3571.61
January,2017,1,1/1/2017,1/31/2017,STATE BANK OF TRAVANCORE,1129,608,4688,0,0,0,0,0,0,10243782,16256098,3091284,28184.3,5586.01
January,2017,1,1/1/2017,1/31/2017,AXIS BANK LTD,3233,10652,350367,0,3126846,41129,9963047,72.6321,28767.2,18856310,22086025,22972498,62322,35134.7
January,2017,1,1/1/2017,1/31/2017,BANDHAN BANK,277,0,462,0,0,0,0,0,0,9037113,4417592,374809,9271.3,649.5
January,2017,1,1/1/2017,1/31/2017,CATHOLIC SYRIAN BANK LTD,198,57,0,0,0,0,0,0,0,906551,391488,151617,856.471,319.712
January,2017,1,1/1/2017,1/31/2017,CITY UNION BANK,737,675,6233,0,596,94,2437,0.1652,3.04819,1603111,1036328,1037187,3331.82,1418.56
January,2017,1,1/1/2017,1/31/2017,DEVELOPMENT CREDIT BANK,210,292,1009,0,5627,555,15656,2.05707,26.0177,432099,693346,324849,853.171,601.013
January,2017,1,1/1/2017,1/31/2017,DHANALAKSHMI BANK LTD,198,175,1042,0,7400,57,17974,0.0905,36.5681,622451,486007,201156,1365.92,362.368
January,2017,1,1/1/2017,1/31/2017,FEDERAL BANK LTD,1138,527,10135,0,0,0,0,0,0,5397142,3965268,2856495,12169.7,4860.99
January,2017,1,1/1/2017,1/31/2017,HDFC BANK LTD,5675,6467,388732,0,8814073,123057,32458459,472.142,95904.9,23257494,23787514,40236781,79925.1,57298
January,2017,1,1/1/2017,1/31/2017,ICICI BANK LTD,4940,9331,254375,0,4157291,22167,16546324,70.338,37172.5,36132712,24062778,38363612,78997.1,55236.2
January,2017,1,1/1/2017,1/31/2017,IDFC BANK LTD,20,1,9,825,0,0,0,0,0,198211,256450,168688,351.9,184.6
January,2017,1,1/1/2017,1/31/2017,INDUSIND BANK LTD,832,1149,22512,0,545247,8010,1810622,32.7924,9397.75,3227279,1689157,2316640,5220.01,3441.24
January,2017,1,1/1/2017,1/31/2017,JAMMU AND KASHMIR BANK,640,449,6957,0,52024,5036,129283,13.2152,351.261,3415618,4066154,226160,11141.4,666.193
January,2017,1,1/1/2017,1/31/2017,KARNATAKA BANK LTD,531,819,6506,0,0,0,0,0,0,3519514,3184981,2362440,9375.3,3193.3
January,2017,1,1/1/2017,1/31/2017,KARUR VYSYA BANK LTD,766,965,17710,0,0,0,0,0,0,4296125,3197431,2902929,11604.6,4205.3
January,2017,1,1/1/2017,1/31/2017,KOTAK MAHINDRA BANK LTD,948,1103,0,0,980247,12769,2421967,47.1804,6945.41,4663411,3680945,5652377,11631.2,7795.71
January,2017,1,1/1/2017,1/31/2017,RATNAKAR BANK LIMITED,149,225,9527,0,257216,3896,821799,17.8268,3125.96,558688,255588,311197,744.553,438.466
